Drug	Replica	Day	Tumor_volume
Control	1	1	108
Control	2	1	75
Control	3	1	75
Control	4	1	63
Control	5	1	75
Control	1	4	108
Control	2	4	108
Control	3	4	63
Control	4	4	63
Control	5	4	88
Control	1	8	172
Control	2	8	144
Control	3	8	63
Control	4	8	75
Control	5	8	126
Control	1	11	172
Control	2	11	245
Control	3	11	108
Control	4	11	108
Control	5	11	126
Control	1	15	256
Control	2	15	270
Control	3	15	196
Control	4	15	196
Control	5	15	126
Control	1	18	256
Control	2	18	270
Control	3	18	256
Control	4	18	288
Control	1	22	365
Control	2	22	294
Control	3	22	172
Control	4	22	365
Control	1	29	500
Control	2	29	448
Control	3	29	196
Control	4	29	405
Cisplatin	1	1	172
Cisplatin	2	1	63
Cisplatin	3	1	63
Cisplatin	4	1	75
Cisplatin	5	1	126
Cisplatin	6	1	88
Cisplatin	7	1	88
Cisplatin	8	1	75
Cisplatin	9	1	75
Cisplatin	10	1	88
Cisplatin	1	4	126
Cisplatin	2	4	32
Cisplatin	3	4	63
Cisplatin	4	4	40
Cisplatin	5	4	126
Cisplatin	6	4	40
Cisplatin	7	4	32
Cisplatin	8	4	6
Cisplatin	9	4	18
Cisplatin	10	4	108
Cisplatin	1	8	0
Cisplatin	2	8	0
Cisplatin	3	8	4
Cisplatin	4	8	0
Cisplatin	5	8	14
Cisplatin	6	8	0
Cisplatin	7	8	1
Cisplatin	8	8	0
Cisplatin	9	8	0
Cisplatin	10	8	108
Cisplatin	1	11	0
Cisplatin	2	11	0
Cisplatin	3	11	4
Cisplatin	4	11	0
Cisplatin	5	11	14
Cisplatin	6	11	0
Cisplatin	7	11	0
Cisplatin	8	11	0
Cisplatin	9	11	0
Cisplatin	10	11	108
Cisplatin	1	15	0
Cisplatin	2	15	0
Cisplatin	3	15	1
Cisplatin	4	15	0
Cisplatin	5	15	14
Cisplatin	6	15	0
Cisplatin	7	15	0
Cisplatin	1	18	0
Cisplatin	2	18	0
Cisplatin	3	18	14
Cisplatin	4	18	0
Cisplatin	5	18	6
Cisplatin	6	18	0
Cisplatin	7	18	0
Cisplatin	1	22	0
Cisplatin	2	22	0
Cisplatin	3	22	14
Cisplatin	4	22	0
Cisplatin	1	25	0
Cisplatin	2	25	0
Cisplatin	3	25	14
Cisplatin	4	25	0
Cisplatin	1	29	0
Cisplatin	2	29	0
Cisplatin	3	29	0
Cisplatin	4	29	0

