Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Cisplatin	2	1	2	20	93	120
Cisplatin	2	1	2	20	91	142
Cisplatin	2	1	2	20	78	73
Cisplatin	2	1	2	20	24	22
Cisplatin	2	1	2	50	183	200
Cisplatin	2	1	2	50	377	520
Cisplatin	2	1	2	50	242	428
Cisplatin	2	1	2	50	218	409
Cisplatin	2	1	2	50	120	310
Cisplatin	2	1	2	50	31	28
Cisplatin	2	1	2	50	39	30
Cisplatin	2	1	3	1	85	117
Cisplatin	2	1	3	1	117	140
Cisplatin	2	1	3	1	90	122
Cisplatin	2	1	3	1	99	158
Cisplatin	2	1	3	1	114	133
Cisplatin	2	1	3	1	95	129
Cisplatin	2	1	3	1	60	98
Cisplatin	2	1	3	1	116	136
Cisplatin	2	1	3	1	127	138
Cisplatin	2	1	3	10	109	177
Cisplatin	2	1	3	10	76	155
Cisplatin	2	1	3	10	263	402
Cisplatin	2	1	3	10	276	448
Cisplatin	2	1	3	10	331	518
Cisplatin	2	1	3	10	232	367
Cisplatin	2	1	3	10	38	128
Cisplatin	2	1	3	10	31	88
Cisplatin	2	1	3	10	39	71
Cisplatin	2	1	3	20	47	71
Cisplatin	2	1	3	20	42	63
Cisplatin	2	1	3	20	80	109
Cisplatin	2	1	3	20	59	126
Cisplatin	2	1	3	20	51	97
Cisplatin	2	1	3	20	4	15
Cisplatin	2	1	3	20	35	76
Cisplatin	2	1	3	20	102	110
Cisplatin	2	1	3	50	64	79
Cisplatin	2	1	3	50	60	84
Cisplatin	2	1	3	50	33	49
Cisplatin	2	1	3	50	29	43
Cisplatin	2	1	3	50	37	75
Cisplatin	2	1	3	50	65	74
Cisplatin	2	1	3	50	95	84
Cisplatin	2	1	4	1	48	53
Cisplatin	2	1	4	1	85	97
Cisplatin	2	1	4	1	59	59
Cisplatin	2	1	4	1	78	74
Cisplatin	2	1	4	1	38	41
Cisplatin	2	1	4	1	56	73
Cisplatin	2	1	4	1	86	89
Cisplatin	2	1	4	1	39	47
Cisplatin	2	1	4	20	14	12
Cisplatin	2	1	4	20	46	45
Cisplatin	2	1	4	20	49	32
Cisplatin	2	1	4	20	26	31
Cisplatin	2	1	4	20	19	28
Cisplatin	2	1	4	20	22	71
Cisplatin	2	1	4	20	5	8
Cisplatin	2	1	4	20	7	8
Cisplatin	2	1	4	50	26	25
Cisplatin	2	1	4	50	25	27
Cisplatin	2	1	4	50	11	20
Cisplatin	2	1	4	50	6	18
Cisplatin	2	1	4	50	2	3
Cisplatin	2	1	4	50	6	4
Cisplatin	2	1	4	50	15	14
Cisplatin	2	1	4	50	4	19
Cisplatin	2	2	1	1	162	341
Cisplatin	2	2	1	1	188	336
Cisplatin	2	2	1	1	145	292
Cisplatin	2	2	1	1	144	344
Cisplatin	2	2	1	1	123	286
Cisplatin	2	2	1	1	129	298
Cisplatin	2	2	1	1	95	261
Cisplatin	2	2	1	1	97	262
Cisplatin	2	2	1	1	113	270
Cisplatin	2	2	1	10	218	349
Cisplatin	2	2	1	10	210	282
Cisplatin	2	2	1	10	208	343
Cisplatin	2	2	1	10	182	337
Cisplatin	2	2	1	10	172	345
Cisplatin	2	2	1	10	199	353
Cisplatin	2	2	1	10	215	360
Cisplatin	2	2	1	10	240	371
Cisplatin	2	2	1	50	196	350
Cisplatin	2	2	1	50	222	267
Cisplatin	2	2	1	50	261	330
Cisplatin	2	2	1	50	220	278
Cisplatin	2	2	1	50	176	236
Cisplatin	2	2	1	50	127	190
Cisplatin	2	2	1	50	119	206
Cisplatin	2	2	1	50	100	201
Cisplatin	2	2	1	50	100	211
Cisplatin	2	2	2	1	73	142
Cisplatin	2	2	2	1	98	149
Cisplatin	2	2	2	1	102	117
Cisplatin	2	2	2	1	115	159
Cisplatin	2	2	2	1	125	164
Cisplatin	2	2	2	1	103	169
Cisplatin	2	2	2	1	91	155
Cisplatin	2	2	2	1	109	134
Cisplatin	2	2	2	1	91	139
Cisplatin	2	2	2	10	251	206
Cisplatin	2	2	2	10	140	184
Cisplatin	2	2	2	10	120	156
Cisplatin	2	2	2	10	115	175
Cisplatin	2	2	2	10	64	142
Cisplatin	2	2	2	10	69	104
Cisplatin	2	2	2	10	36	89
Cisplatin	2	2	2	10	61	145
Cisplatin	2	2	3	1	60	83
Cisplatin	2	2	3	1	25	54
Cisplatin	2	2	3	1	14	75
Cisplatin	2	2	3	1	55	162
Cisplatin	2	2	3	1	107	143
Cisplatin	2	2	3	1	108	150
Cisplatin	2	2	3	1	103	143
Cisplatin	2	2	3	1	109	158
Cisplatin	2	2	3	1	104	173
Cisplatin	2	2	3	50	44	67
Cisplatin	2	2	3	50	32	68
Cisplatin	2	2	3	50	43	97
Cisplatin	2	2	3	50	82	177
Cisplatin	2	2	3	50	87	203
Cisplatin	2	2	3	50	92	195
Cisplatin	2	2	3	50	113	226
Cisplatin	2	2	3	50	74	176
Cisplatin	2	2	3	50	19	20
Cisplatin	2	2	4	1	24	38
Cisplatin	2	2	4	1	66	81
Cisplatin	2	2	4	1	20	47
Cisplatin	2	2	4	1	22	36
Cisplatin	2	2	4	1	50	60
Cisplatin	2	2	4	1	30	26
Cisplatin	2	2	4	1	28	44
Cisplatin	2	2	4	1	36	53
Cisplatin	2	2	4	1	42	67
Cisplatin	2	2	4	20	35	8
Cisplatin	2	2	4	20	35	5
Cisplatin	2	2	4	20	40	7
Cisplatin	2	2	4	20	26	9
Cisplatin	2	2	4	20	7	4
Cisplatin	2	2	4	20	1	9
Cisplatin	2	2	4	20	7	10
Cisplatin	2	2	4	20	6	14
Cisplatin	2	2	4	20	6	10
Cisplatin	2	2	4	50	68	33
Cisplatin	2	2	4	50	60	31
Cisplatin	2	2	4	50	6	18
Cisplatin	2	2	4	50	7	8
Cisplatin	2	2	4	50	8	34
Cisplatin	2	2	4	50	15	41
Cisplatin	2	2	4	50	13	18
Cisplatin	2	2	4	50	42	35
Control	2	1	0	0	91	631
Control	2	1	0	0	55	579
Control	2	1	0	0	31	530
Control	2	1	0	0	36	576
Control	2	1	0	0	50	544
Control	2	1	0	0	49	514
Control	2	1	0	0	105	563
Control	2	1	0	0	101	547
Control	2	1	0	0	68	523
Control	2	1	1	0	165	285
Control	2	1	1	0	64	139
Control	2	1	1	0	42	77
Control	2	1	1	0	84	148
Control	2	1	1	0	65	157
Control	2	1	1	0	64	161
Control	2	1	1	0	67	163
Control	2	1	1	0	60	200
Control	2	1	1	0	102	199
Control	2	1	2	0	116	79
Control	2	1	2	0	70	107
Control	2	1	2	0	70	114
Control	2	1	2	0	31	136
Control	2	1	2	0	76	167
Control	2	1	2	0	72	138
Control	2	1	2	0	55	154
Control	2	1	2	0	98	236
Control	2	1	2	0	43	39
Control	2	1	3	0	59	104
Control	2	1	3	0	86	139
Control	2	1	3	0	83	140
Control	2	1	3	0	84	107
Control	2	1	3	0	89	116
Control	2	1	3	0	52	78
Control	2	1	3	0	43	57
Control	2	1	3	0	24	40
Control	2	1	4	0	22	26
Control	2	1	4	0	29	35
Control	2	1	4	0	19	21
Control	2	1	4	0	21	30
Control	2	1	4	0	9	22
Control	2	1	4	0	25	20
Control	2	1	4	0	25	42
Control	2	1	4	0	37	31
Control	2	1	4	0	27	24
Control	2	2	0	0	131	614
Control	2	2	0	0	66	593
Control	2	2	0	0	31	548
Control	2	2	0	0	14	538
Control	2	2	0	0	22	489
Control	2	2	0	0	50	558
Control	2	2	0	0	55	551
Control	2	2	0	0	80	596
Control	2	2	0	0	47	543
Control	2	2	1	0	142	231
Control	2	2	1	0	85	224
Control	2	2	1	0	73	209
Control	2	2	1	0	77	193
Control	2	2	1	0	84	171
Control	2	2	1	0	64	160
Control	2	2	1	0	75	158
Control	2	2	1	0	133	217
Control	2	2	2	0	63	58
Control	2	2	2	0	53	60
Control	2	2	2	0	11	45
Control	2	2	2	0	45	102
Control	2	2	2	0	79	117
Control	2	2	2	0	57	103
Control	2	2	2	0	107	144
Control	2	2	2	0	69	126
Control	2	2	2	0	91	132
Control	2	2	3	0	63	113
Control	2	2	3	0	79	138
Control	2	2	3	0	143	132
Control	2	2	3	0	106	150
Control	2	2	3	0	30	56
Control	2	2	3	0	63	105
Control	2	2	3	0	106	150
Control	2	2	4	0	8	23
Control	2	2	4	0	75	68
Control	2	2	4	0	64	69
Control	2	2	4	0	62	53
Control	2	2	4	0	64	64
Control	2	2	4	0	108	101
Cisplatin	1	1	1	1	32	83
Cisplatin	1	1	1	1	25	71
Cisplatin	1	1	1	1	19	72
Cisplatin	1	1	1	1	16	77
Cisplatin	1	1	1	1	29	84
Cisplatin	1	1	1	1	16	75
Cisplatin	1	1	1	1	20	68
Cisplatin	1	1	1	1	16	60
Cisplatin	1	1	1	1	11	46
Cisplatin	1	1	1	10	6	26
Cisplatin	1	1	1	10	8	46
Cisplatin	1	1	1	10	10	45
Cisplatin	1	1	1	10	11	55
Cisplatin	1	1	1	10	15	73
Cisplatin	1	1	1	10	5	73
Cisplatin	1	1	1	10	15	86
Cisplatin	1	1	1	10	22	85
Cisplatin	1	1	1	10	19	81
Cisplatin	1	1	1	20	4	44
Cisplatin	1	1	1	20	3	63
Cisplatin	1	1	1	20	2	35
Cisplatin	1	1	1	20	4	56
Cisplatin	1	1	1	20	3	51
Cisplatin	1	1	1	20	3	55
Cisplatin	1	1	1	20	1	19
Cisplatin	1	1	1	20	7	25
Cisplatin	1	1	1	20	8	35
Cisplatin	1	1	2	1	58	76
Cisplatin	1	1	2	1	35	48
Cisplatin	1	1	2	1	30	56
Cisplatin	1	1	2	1	41	57
Cisplatin	1	1	2	1	47	76
Cisplatin	1	1	2	1	29	58
Cisplatin	1	1	2	1	34	68
Cisplatin	1	1	2	1	41	51
Cisplatin	1	1	2	1	54	85
Cisplatin	1	1	2	10	37	66
Cisplatin	1	1	2	10	30	68
Cisplatin	1	1	2	10	33	77
Cisplatin	1	1	2	10	20	60
Cisplatin	1	1	2	10	21	59
Cisplatin	1	1	2	10	30	70
Cisplatin	1	1	2	10	20	63
Cisplatin	1	1	2	10	30	83
Cisplatin	1	1	2	10	36	77
Cisplatin	1	1	2	20	52	89
Cisplatin	1	1	2	20	40	71
Cisplatin	1	1	2	20	31	68
Cisplatin	1	1	2	20	33	78
Cisplatin	1	1	2	20	29	79
Cisplatin	1	1	2	20	40	71
Cisplatin	1	1	2	20	31	76
Cisplatin	1	1	2	20	32	77
Cisplatin	1	1	2	20	51	83
Cisplatin	1	1	2	50	51	89
Cisplatin	1	1	2	50	51	71
Cisplatin	1	1	2	50	53	81
