Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Carboplatin	2	1	1	1	42	77
Carboplatin	2	1	1	1	24	43
Carboplatin	2	1	1	1	30	43
Carboplatin	2	1	1	1	39	58
Carboplatin	2	1	1	1	47	60
Carboplatin	2	1	1	1	53	50
Carboplatin	2	1	1	1	38	51
Carboplatin	2	1	1	1	51	61
Carboplatin	2	1	1	10	51	64
Carboplatin	2	1	1	10	28	41
Carboplatin	2	1	1	10	17	56
Carboplatin	2	1	1	10	19	56
Carboplatin	2	1	1	10	11	43
Carboplatin	2	1	1	10	34	57
Carboplatin	2	1	1	10	27	52
Carboplatin	2	1	1	10	12	53
Carboplatin	2	1	1	10	25	45
Carboplatin	2	1	1	20	44	52
Carboplatin	2	1	1	20	46	45
Carboplatin	2	1	1	20	52	61
Carboplatin	2	1	1	20	45	49
Carboplatin	2	1	1	20	41	53
Carboplatin	2	1	1	20	26	41
Carboplatin	2	1	1	20	27	34
Carboplatin	2	1	1	20	21	43
Carboplatin	2	1	1	20	25	40
Carboplatin	2	1	1	50	7	35
Carboplatin	2	1	1	50	9	28
Carboplatin	2	1	1	50	19	44
Carboplatin	2	1	1	50	18	50
Carboplatin	2	1	1	50	7	37
Carboplatin	2	1	1	50	10	44
Carboplatin	2	1	1	50	28	42
Carboplatin	2	1	1	50	17	38
Carboplatin	2	1	2	1	12	18
Carboplatin	2	1	2	1	8	16
Carboplatin	2	1	2	1	5	16
Carboplatin	2	1	2	1	11	25
Carboplatin	2	1	2	1	5	31
Carboplatin	2	1	2	1	13	23
Carboplatin	2	1	2	1	23	34
Carboplatin	2	1	2	1	26	49
Carboplatin	2	1	2	1	40	55
Carboplatin	2	1	2	10	11	29
Carboplatin	2	1	2	10	49	74
Carboplatin	2	1	2	10	33	72
Carboplatin	2	1	2	10	20	43
Carboplatin	2	1	2	10	18	48
Carboplatin	2	1	2	10	18	43
Carboplatin	2	1	2	10	15	51
Carboplatin	2	1	2	10	26	57
Carboplatin	2	1	2	10	13	27
Carboplatin	2	1	2	20	16	35
Carboplatin	2	1	2	20	12	30
Carboplatin	2	1	2	20	20	30
Carboplatin	2	1	2	20	19	45
Carboplatin	2	1	2	20	31	58
Carboplatin	2	1	2	20	28	35
Carboplatin	2	1	2	20	27	34
Carboplatin	2	1	2	20	36	39
Carboplatin	2	1	2	20	32	32
Carboplatin	2	1	2	50	44	50
Carboplatin	2	1	2	50	50	52
Carboplatin	2	1	2	50	39	57
Carboplatin	2	1	2	50	28	48
Carboplatin	2	1	2	50	40	66
Carboplatin	2	1	2	50	26	52
Carboplatin	2	1	2	50	36	59
Carboplatin	2	1	2	50	12	27
Carboplatin	2	1	2	50	17	43
