Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
5FU	5	1	1	1	21	28
5FU	5	1	1	1	7	21
5FU	5	1	1	1	7	30
5FU	5	1	1	1	6	27
5FU	5	1	1	1	9	33
5FU	5	1	1	1	4	37
5FU	5	1	1	1	1	20
5FU	5	1	1	1	2	24
5FU	5	1	1	10	1	31
5FU	5	1	1	10	7	36
5FU	5	1	1	10	7	25
5FU	5	1	1	10	5	32
5FU	5	1	1	10	6	22
5FU	5	1	1	10	7	23
5FU	5	1	1	10	9	19
5FU	5	1	1	10	13	25
5FU	5	1	1	10	13	17
5FU	5	1	1	20	9	26
5FU	5	1	1	20	12	24
5FU	5	1	1	20	7	21
5FU	5	1	1	20	6	20
5FU	5	1	1	20	9	20
5FU	5	1	1	20	13	30
5FU	5	1	1	20	7	45
5FU	5	1	1	20	17	29
5FU	5	1	1	50	10	22
5FU	5	1	1	50	7	27
5FU	5	1	1	50	6	27
5FU	5	1	1	50	12	33
5FU	5	1	1	50	6	25
5FU	5	1	1	50	6	27
5FU	5	1	1	50	10	13
5FU	5	1	1	50	6	10
5FU	5	1	2	1	10	52
5FU	5	1	2	1	8	53
5FU	5	1	2	1	7	41
5FU	5	1	2	1	5	32
5FU	5	1	2	1	11	18
5FU	5	1	2	1	12	24
5FU	5	1	2	1	4	14
5FU	5	1	2	10	20	42
5FU	5	1	2	10	56	93
5FU	5	1	2	10	61	77
5FU	5	1	2	10	75	59
5FU	5	1	2	10	51	62
5FU	5	1	2	10	38	66
5FU	5	1	2	10	37	64
5FU	5	1	2	10	9	28
5FU	5	1	2	50	47	84
5FU	5	1	2	50	46	53
5FU	5	1	2	50	59	73
5FU	5	1	2	50	60	74
5FU	5	1	2	50	78	88
5FU	5	1	2	50	71	81
5FU	5	1	2	50	90	80
5FU	5	1	2	50	30	41
5FU	5	1	3	1	30	45
5FU	5	1	3	1	27	27
5FU	5	1	3	1	17	14
5FU	5	1	3	1	12	16
5FU	5	1	3	1	8	17
5FU	5	1	3	1	17	30
5FU	5	1	3	10	11	13
5FU	5	1	3	10	82	24
5FU	5	1	3	10	6	17
5FU	5	1	3	20	63	63
5FU	5	1	3	20	43	59
5FU	5	1	3	20	68	41
5FU	5	1	3	20	272	86
5FU	5	1	3	50	36	68
5FU	5	1	3	50	65	41
5FU	5	1	3	50	84	52
5FU	5	1	3	50	96	1
5FU	5	2	3	1	46	82
5FU	5	2	3	1	21	56
5FU	5	2	3	1	23	52
5FU	5	2	3	1	39	1
5FU	5	2	3	1	50	61
5FU	5	2	3	1	40	62
5FU	5	2	3	10	36	48
5FU	5	2	3	10	29	62
5FU	5	2	3	10	52	58
5FU	5	2	3	10	45	81
5FU	5	2	3	10	48	96
Control	5	1	0	0	33	39
Control	5	1	0	0	14	28
Control	5	1	0	0	20	57
Control	5	1	0	0	16	48
Control	5	1	0	0	16	57
Control	5	1	0	0	23	56
Control	5	1	0	0	14	51
Control	5	1	0	0	23	56
Control	5	1	1	0	8	19
Control	5	1	1	0	16	21
Control	5	1	1	0	19	41
Control	5	1	1	0	6	20
Control	5	1	1	0	7	27
Control	5	1	1	0	12	14
Control	5	1	1	0	11	17
Control	5	1	2	0	40	81
Control	5	1	2	0	21	42
Control	5	1	2	0	8	35
Control	5	1	2	0	8	38
Control	5	1	2	0	3	49
Control	5	1	2	0	10	54
Control	5	1	3	0	18	26
Control	5	1	3	0	17	26
Control	5	1	3	0	11	43
Control	5	1	3	0	8	41
Control	5	1	3	0	9	37
Control	5	1	3	0	6	45
Control	5	2	1	0	10	38
Control	5	2	1	0	15	34
Control	5	2	1	0	11	43
Control	5	2	1	0	15	34
Control	5	2	1	0	11	23
Control	5	2	1	0	14	41
Control	5	2	1	0	11	38
5FU	2	1	1	10	58	54
5FU	2	1	1	10	59	164
5FU	2	1	1	10	184	362
5FU	2	1	1	10	223	390
5FU	2	1	1	10	167	384
5FU	2	1	1	10	192	372
5FU	2	1	1	10	134	351
5FU	2	1	1	10	189	370
5FU	2	1	1	20	292	447
5FU	2	1	1	20	199	366
5FU	2	1	1	20	195	365
5FU	2	1	1	20	231	414
5FU	2	1	1	20	215	422
5FU	2	1	1	20	218	411
5FU	2	1	1	20	204	333
5FU	2	1	1	20	110	231
5FU	2	1	1	20	43	105
5FU	2	1	1	50	44	37
