Drug	Replica	Day	Tumor_volume
Control	1	1	108
Control	2	1	75
Control	3	1	63
Control	4	1	75
Control	5	1	75
Control	1	4	196
Control	2	4	108
Control	3	4	75
Control	4	4	126
Control	5	4	172
Control	1	8	320
Control	2	8	486
Control	3	8	126
Control	4	8	288
Control	5	8	288
Control	1	11	550
Control	2	11	787
Control	3	11	172
Control	4	11	352
Control	5	11	365
Control	1	15	864
Control	2	15	1268
Control	3	15	256
Control	4	15	650
Control	5	15	446
Control	1	18	1183
Control	2	18	1568
Control	3	18	256
Control	4	18	700
Control	5	18	446
Control	1	22	1666
Control	2	22	2432
Control	3	22	288
Control	4	22	700
Control	5	22	936
Control	3	25	288
Control	4	25	1606
Control	5	25	1183
Control	3	29	320
Control	4	29	1960
Control	5	29	1688
Control	3	32	405
Control	5	32	2176
Control	3	36	550
Control	5	36	2304
Control	3	39	726
Control	5	39	2601
Paclitaxel	1	1	256
Paclitaxel	2	1	108
Paclitaxel	3	1	288
Paclitaxel	4	1	221
Paclitaxel	5	1	144
Paclitaxel	6	1	126
Paclitaxel	7	1	126
Paclitaxel	8	1	196
Paclitaxel	9	1	126
Paclitaxel	10	1	126
Paclitaxel	11	1	196
Paclitaxel	12	1	126
Paclitaxel	13	1	108
Paclitaxel	14	1	196
Paclitaxel	15	1	144
Paclitaxel	1	4	288
Paclitaxel	2	4	126
Paclitaxel	3	4	288
Paclitaxel	4	4	288
Paclitaxel	5	4	245
Paclitaxel	6	4	245
Paclitaxel	7	4	144
Paclitaxel	8	4	365
Paclitaxel	9	4	196
Paclitaxel	10	4	162
Paclitaxel	11	4	221
Paclitaxel	12	4	126
Paclitaxel	13	4	108
Paclitaxel	14	4	221
Paclitaxel	15	4	162
Paclitaxel	1	8	500
Paclitaxel	2	8	196
Paclitaxel	3	8	550
Paclitaxel	4	8	486
Paclitaxel	5	8	446
Paclitaxel	6	8	527
Paclitaxel	7	8	352
Paclitaxel	8	8	666
Paclitaxel	9	8	288
Paclitaxel	10	8	288
Paclitaxel	11	8	405
Paclitaxel	12	8	221
Paclitaxel	13	8	196
Paclitaxel	14	8	288
Paclitaxel	15	8	245
Paclitaxel	1	11	666
Paclitaxel	2	11	196
Paclitaxel	3	11	600
Paclitaxel	4	11	365
Paclitaxel	5	11	486
Paclitaxel	6	11	567
Paclitaxel	7	11	486
Paclitaxel	8	11	726
Paclitaxel	9	11	288
Paclitaxel	10	11	365
Paclitaxel	11	11	550
Paclitaxel	12	11	288
Paclitaxel	13	11	221
Paclitaxel	14	11	405
Paclitaxel	15	11	320
Paclitaxel	1	15	172
Paclitaxel	2	15	288
Paclitaxel	3	15	1183
Paclitaxel	4	15	600
Paclitaxel	5	15	527
Paclitaxel	6	15	600
Paclitaxel	7	15	196
Paclitaxel	8	15	1099
Paclitaxel	9	15	405
Paclitaxel	10	15	405
Paclitaxel	11	15	864
Paclitaxel	12	15	288
Paclitaxel	13	15	75
Paclitaxel	14	15	405
Paclitaxel	15	15	486
Paclitaxel	1	18	172
Paclitaxel	2	18	288
Paclitaxel	3	18	1470
Paclitaxel	4	18	650
Paclitaxel	5	18	527
Paclitaxel	6	18	486
Paclitaxel	7	18	144
Paclitaxel	8	18	864
Paclitaxel	9	18	405
Paclitaxel	10	18	500
Paclitaxel	11	18	726
Paclitaxel	12	18	288
Paclitaxel	13	18	40
Paclitaxel	14	18	500
Paclitaxel	15	18	600
Paclitaxel	1	22	75
Paclitaxel	2	22	365
Paclitaxel	3	22	1800
Paclitaxel	4	22	726
Paclitaxel	5	22	486
Paclitaxel	6	22	352
Paclitaxel	7	22	75
Paclitaxel	8	22	847
Paclitaxel	9	22	405
Paclitaxel	10	22	288
Paclitaxel	11	22	600
Paclitaxel	12	22	405
Paclitaxel	13	22	63
Paclitaxel	14	22	726
Paclitaxel	15	22	700
Paclitaxel	1	25	75
Paclitaxel	2	25	500
Paclitaxel	3	25	2176
Paclitaxel	4	25	936
Paclitaxel	5	25	600
Paclitaxel	6	25	352
Paclitaxel	7	25	48
Paclitaxel	8	25	1268
Paclitaxel	9	25	405
Paclitaxel	10	25	256
Paclitaxel	11	25	550
Paclitaxel	12	25	405
Paclitaxel	13	25	40
Paclitaxel	14	25	936
Paclitaxel	15	25	908
Paclitaxel	1	29	63
Paclitaxel	2	29	864
Paclitaxel	3	29	2176
Paclitaxel	4	29	320
Paclitaxel	5	29	847
Paclitaxel	6	29	196
Paclitaxel	7	29	18
Paclitaxel	8	29	1183
Paclitaxel	9	29	256
Paclitaxel	10	29	196
Paclitaxel	11	29	144
Paclitaxel	12	29	600
Paclitaxel	13	29	14
Paclitaxel	14	29	864
Paclitaxel	15	29	1437
Paclitaxel	1	32	63
Paclitaxel	2	32	446
Paclitaxel	4	32	365
Paclitaxel	5	32	1666
Paclitaxel	6	32	245
Paclitaxel	7	32	18
Paclitaxel	8	32	1764
Paclitaxel	9	32	196
Paclitaxel	10	32	172
Paclitaxel	11	32	116
Paclitaxel	12	32	726
Paclitaxel	13	32	14
Paclitaxel	14	32	1183
Paclitaxel	4	36	550
Paclitaxel	5	36	2176
Paclitaxel	6	36	550
Paclitaxel	7	36	4
Paclitaxel	8	36	2304
Paclitaxel	9	36	288
Paclitaxel	10	36	288
Paclitaxel	11	36	88
Paclitaxel	12	36	787
Paclitaxel	13	36	32
Paclitaxel	14	36	1470
