Drug	Replica	Day	Tumor_volume
Control	1	1	75
Control	2	1	221
Control	3	1	108
Control	4	1	40
Control	1	4	108
Control	2	4	320
Control	3	4	256
Control	4	4	126
Control	1	8	171
Control	2	8	486
Control	3	8	405
Control	4	8	126
Control	1	11	196
Control	2	11	700
Control	3	11	726
Control	4	11	221
Control	1	15	288
Control	2	15	1296
Control	3	15	1183
Control	4	15	384
Control	1	18	550
Control	2	18	2250
Control	3	18	1268
Control	4	18	700
Control	1	22	936
Control	3	22	2176
Control	4	22	3240
Control	1	25	1080
Control	3	25	3240
Control	4	25	3726
5FU	1	1	108
5FU	2	1	63
5FU	3	1	126
5FU	4	1	126
5FU	1	4	126
5FU	2	4	108
5FU	3	4	196
5FU	4	4	196
5FU	1	8	196
5FU	2	8	172
5FU	3	8	221
5FU	4	8	288
5FU	1	11	288
5FU	2	11	196
5FU	3	11	221
5FU	4	11	288
5FU	1	15	288
5FU	2	15	196
5FU	3	15	320
5FU	4	15	405
5FU	1	18	288
5FU	2	18	196
5FU	3	18	320
5FU	4	18	405
5FU	1	22	188
5FU	2	22	196
5FU	3	22	320
5FU	4	22	405
5FU	1	25	288
5FU	2	25	196
5FU	3	25	320
5FU	3	25	550
