Drug	Replica	Day	Tumor_volume
Control	1	1	75
Control	2	1	75
Control	3	1	63
Control	4	1	75
Control	1	5	288
Control	2	5	108
Control	3	5	126
Control	4	5	126
Control	3	8	365
Control	4	8	196
Control	1	12	726
Control	2	12	486
Control	3	12	405
Control	4	12	288
Control	2	15	787
Control	3	15	600
Control	4	15	405
Control	2	19	1268
Control	3	19	787
Control	4	19	550
Control	2	22	1437
Control	3	22	1080
Control	4	22	726
Control	3	26	1568
Control	4	26	787
Control	3	29	2432
Control	4	29	1568
Paclitaxel	1	1	75
Paclitaxel	2	1	63
Paclitaxel	3	1	63
Paclitaxel	4	1	126
Paclitaxel	5	1	63
Paclitaxel	1	5	144
Paclitaxel	2	5	126
Paclitaxel	3	5	63
Paclitaxel	4	5	126
Paclitaxel	5	5	75
Paclitaxel	1	8	288
Paclitaxel	2	8	126
Paclitaxel	3	8	108
Paclitaxel	4	8	288
Paclitaxel	5	8	221
Paclitaxel	1	12	196
Paclitaxel	2	12	75
Paclitaxel	3	12	4
Paclitaxel	4	12	500
Paclitaxel	5	12	221
Paclitaxel	1	15	196
Paclitaxel	2	15	14
Paclitaxel	3	15	0
Paclitaxel	4	15	1008
Paclitaxel	5	15	486
Paclitaxel	1	19	75
Paclitaxel	2	19	1
Paclitaxel	3	19	0
Paclitaxel	4	19	1008
Paclitaxel	5	19	486
Paclitaxel	1	22	4
Paclitaxel	2	22	1
Paclitaxel	3	22	0
Paclitaxel	4	22	384
Paclitaxel	5	22	88
Paclitaxel	1	26	0
Paclitaxel	2	26	0
Paclitaxel	3	26	0
Paclitaxel	4	26	48
Paclitaxel	5	26	8
Paclitaxel	1	29	0
Paclitaxel	2	29	0
Paclitaxel	3	29	0
Paclitaxel	4	29	4
Paclitaxel	5	29	4

