Drug	Replica	Day	Tumor_volume
Control	1	1	288
Control	2	1	144
Control	3	1	75
Control	4	1	63
Control	1	4	550
Control	2	4	221
Control	3	4	196
Control	4	4	126
Control	1	8	787
Control	2	8	650
Control	3	8	288
Control	4	8	172
Control	1	11	936
Control	2	11	700
Control	3	11	405
Control	4	11	172
Control	1	15	1372
Control	2	15	908
Control	3	15	550
Control	4	15	172
Control	1	18	1688
Control	2	18	1352
Control	3	18	847
Control	4	18	221
Control	1	22	2176
Control	2	22	1764
Control	3	22	1437
Control	4	22	245
Control	1	25	2560
Control	2	25	2138
Control	3	25	1666
Control	4	25	245
Control	1	29	3564
Control	2	29	3240
Control	3	29	2138
Control	4	29	352
Cisplatin	1	1	172
Cisplatin	2	1	196
Cisplatin	3	1	75
Cisplatin	1	4	196
Cisplatin	2	4	221
Cisplatin	3	4	75
Cisplatin	1	8	172
Cisplatin	2	8	144
Cisplatin	3	8	32
Cisplatin	1	11	48
Cisplatin	2	11	40
Cisplatin	3	11	4
Cisplatin	1	15	14
Cisplatin	2	15	32
Cisplatin	3	15	1
Cisplatin	1	18	14
Cisplatin	2	18	14
Cisplatin	3	18	1
Cisplatin	1	22	63
Cisplatin	2	22	32
Cisplatin	3	22	0
Cisplatin	1	25	40
Cisplatin	2	25	32
Cisplatin	3	25	0
Cisplatin	1	29	172
Cisplatin	2	29	0
Cisplatin	3	29	1

