Drug	Replica	Day	Tumor_volume
Control	1	1	108
Control	2	1	63
Control	3	1	108
Control	4	1	75
Control	1	4	126
Control	2	4	75
Control	3	4	108
Control	4	4	75
Control	1	8	196
Control	2	8	172
Control	3	8	172
Control	4	8	108
Control	1	11	196
Control	2	11	172
Control	3	11	172
Control	4	11	196
Control	1	15	221
Control	2	15	320
Control	3	15	172
Control	4	15	288
Control	1	18	245
Control	2	18	320
Control	3	18	196
Control	4	18	288
Control	1	22	353
Control	2	22	446
Control	3	22	196
Control	4	22	352
Control	1	25	384
Control	2	25	600
Control	3	25	196
Control	4	25	352
Control	1	29	486
Control	2	29	787
Control	3	29	196
Control	4	29	486
Control	1	32	650
Control	2	32	1008
Control	3	32	405
Control	4	32	650
Control	1	36	1352
Control	2	36	1568
Control	3	36	405
Control	4	36	650
Control	1	39	1437
Control	2	39	1568
Control	3	39	787
Control	4	39	650
Control	1	44	2688
Control	2	44	2138
Control	3	44	847
Control	4	44	787
TDXD	1	1	126
TDXD	2	1	75
TDXD	3	1	63
TDXD	4	1	108
TDXD	5	1	63
TDXD	1	4	162
TDXD	2	4	75
TDXD	3	4	108
TDXD	4	4	108
TDXD	5	4	108
TDXD	1	8	320
TDXD	2	8	126
TDXD	3	8	108
TDXD	4	8	108
TDXD	5	8	126
TDXD	1	11	320
TDXD	2	11	126
TDXD	3	11	108
TDXD	4	11	108
TDXD	5	11	108
TDXD	1	15	320
TDXD	2	15	126
TDXD	3	15	126
TDXD	4	15	126
TDXD	5	15	108
TDXD	1	18	352
TDXD	2	18	126
TDXD	3	18	108
TDXD	4	18	126
TDXD	5	18	108
TDXD	1	22	352
TDXD	2	22	126
TDXD	3	22	108
TDXD	4	22	126
TDXD	5	22	144
TDXD	1	25	352
TDXD	3	25	108
TDXD	4	25	75
TDXD	5	25	108
TDXD	1	29	352
TDXD	3	29	108
TDXD	4	29	75
TDXD	5	29	108
TDXD	1	32	352
TDXD	3	32	126
TDXD	4	32	108
TDXD	5	32	172
TDXD	1	36	486
TDXD	3	36	172
TDXD	4	36	108
TDXD	5	36	172
TDXD	1	39	486
TDXD	3	39	172
TDXD	4	39	108
TDXD	5	39	172
TDXD	1	44	650
TDXD	3	44	172
TDXD	4	44	108
TDXD	5	44	196
