Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Carboplatin	4	1	1	10	54	108
Carboplatin	4	1	1	10	51	97
Carboplatin	4	1	1	10	36	62
Carboplatin	4	1	1	10	44	87
Carboplatin	4	1	1	10	19	84
Carboplatin	4	1	1	10	20	72
Carboplatin	4	1	1	10	8	44
Carboplatin	4	1	1	10	3	61
Carboplatin	4	1	1	100	92	147
Carboplatin	4	1	1	100	31	79
Carboplatin	4	1	1	100	29	87
Carboplatin	4	1	1	100	15	75
Carboplatin	4	1	1	100	16	58
Carboplatin	4	1	1	100	5	53
Carboplatin	4	1	1	100	28	79
Carboplatin	4	1	1	100	5	54
Carboplatin	4	1	1	20	34	92
Carboplatin	4	1	1	20	23	79
Carboplatin	4	1	1	20	12	57
Carboplatin	4	1	1	20	8	59
Carboplatin	4	1	1	20	9	54
Carboplatin	4	1	1	20	4	42
Carboplatin	4	1	1	20	5	42
Carboplatin	4	1	1	20	10	42
Carboplatin	4	1	1	50	66	74
Carboplatin	4	1	1	50	30	57
Carboplatin	4	1	1	50	7	39
Carboplatin	4	1	1	50	9	37
Carboplatin	4	1	1	50	9	25
Carboplatin	4	1	1	50	20	30
Carboplatin	4	1	1	50	8	31
Carboplatin	4	1	1	50	6	37
Carboplatin	4	1	2	10	57	87
Carboplatin	4	1	2	10	51	70
Carboplatin	4	1	2	10	39	48
Carboplatin	4	1	2	10	21	32
Carboplatin	4	1	2	10	11	25
Carboplatin	4	1	2	10	10	19
Carboplatin	4	1	2	10	4	19
Carboplatin	4	1	2	10	3	13
Carboplatin	4	1	2	10	3	13
Carboplatin	4	1	2	100	46	24
Carboplatin	4	1	2	100	47	37
Carboplatin	4	1	2	100	50	18
Carboplatin	4	1	2	100	70	41
Carboplatin	4	1	2	100	59	24
Carboplatin	4	1	2	100	51	33
Carboplatin	4	1	2	100	48	33
Carboplatin	4	1	2	100	53	26
Carboplatin	4	1	2	100	49	27
Carboplatin	4	2	2	20	47	78
Carboplatin	4	2	2	20	91	78
Carboplatin	4	2	2	20	73	116
Carboplatin	4	2	2	20	99	74
Carboplatin	4	2	2	20	54	74
Carboplatin	4	2	2	20	70	90
Carboplatin	4	2	2	20	48	83
Carboplatin	4	2	2	20	53	69
Carboplatin	4	2	2	20	51	70
Carboplatin	4	1	2	50	31	7
Carboplatin	4	1	2	50	30	13
Carboplatin	4	1	2	50	24	15
Carboplatin	4	1	2	50	30	11
Carboplatin	4	1	2	50	92	54
Carboplatin	4	1	2	50	81	50
Carboplatin	4	1	2	50	82	47
Carboplatin	4	1	2	50	59	43
Carboplatin	4	1	2	50	56	31
Carboplatin	4	1	3	10	21	12
Carboplatin	4	1	3	10	39	35
Carboplatin	4	1	3	10	46	47
Carboplatin	4	1	3	10	28	32
Carboplatin	4	1	3	10	22	21
Carboplatin	4	1	3	10	14	22
Carboplatin	4	1	3	10	25	28
Carboplatin	4	1	3	10	18	22
Carboplatin	4	1	3	10	21	25
Carboplatin	4	1	3	100	55	11
Carboplatin	4	1	3	100	54	14
Carboplatin	4	1	3	100	28	10
Carboplatin	4	1	3	100	26	10
Carboplatin	4	1	3	100	32	10
Carboplatin	4	1	3	100	32	14
Carboplatin	4	1	3	100	23	7
Carboplatin	4	1	3	100	34	18
Carboplatin	4	1	3	100	31	18
Carboplatin	4	1	3	20	42	42
Carboplatin	4	1	3	20	47	60
Carboplatin	4	1	3	20	24	38
Carboplatin	4	1	3	20	26	40
Carboplatin	4	1	3	20	28	55
Carboplatin	4	1	3	20	27	45
Carboplatin	4	1	3	20	18	48
Carboplatin	4	1	3	20	22	43
Carboplatin	4	1	3	20	20	34
