Drug	Tumor	Replica	Day	Concentration	N_Dead	N_Live
Control	6	1	4	0	12	32
Control	6	1	4	0	15	36
Control	6	2	1	0	186	1
Control	6	2	1	0	35	173
Control	6	2	1	0	16	147
Control	6	2	1	0	13	155
Control	6	2	1	0	21	164
Control	6	2	1	0	19	160
Control	6	2	1	0	15	158
Control	6	2	1	0	15	149
Control	6	2	1	0	15	164
Control	6	2	1	0	15	172
Control	6	2	2	0	47	1
Control	6	2	2	0	16	28
Control	6	2	2	0	14	32
Control	6	2	2	0	14	42
Control	6	2	2	0	17	42
Control	6	2	2	0	15	44
Control	6	2	2	0	13	36
Control	6	2	2	0	19	34
Control	6	2	2	0	14	37
Control	6	2	2	0	5	20
Control	6	2	4	0	13	16
Control	6	2	4	0	6	19
Control	6	2	4	0	6	18
Control	6	2	4	0	4	10
Control	6	2	4	0	7	31
Control	6	2	4	0	5	24
Control	6	2	4	0	8	22
Control	6	2	4	0	5	24
Control	6	2	4	0	7	18
Carboplatin	7	1	1	1	19	85
Carboplatin	7	1	1	1	16	86
Carboplatin	7	1	1	1	12	99
Carboplatin	7	1	1	1	7	86
Carboplatin	7	1	1	1	7	79
Carboplatin	7	1	1	1	9	67
Carboplatin	7	1	1	1	9	82
Carboplatin	7	1	1	1	10	82
Carboplatin	7	1	1	1	13	112
Carboplatin	7	1	1	10	3	91
Carboplatin	7	1	1	10	3	117
Carboplatin	7	1	1	10	5	70
Carboplatin	7	1	1	10	10	73
Carboplatin	7	1	1	10	5	76
Carboplatin	7	1	1	10	4	71
Carboplatin	7	1	1	10	3	62
Carboplatin	7	1	1	10	6	70
Carboplatin	7	1	1	10	15	71
Carboplatin	7	1	1	20	3	72
Carboplatin	7	1	1	20	3	63
Carboplatin	7	1	1	20	3	67
Carboplatin	7	1	1	20	9	74
Carboplatin	7	1	1	20	3	79
Carboplatin	7	1	1	20	4	63
Carboplatin	7	1	1	20	4	62
Carboplatin	7	1	1	20	4	47
Carboplatin	7	1	1	20	8	67
Carboplatin	7	1	1	50	12	65
Carboplatin	7	1	1	50	7	70
Carboplatin	7	1	1	50	2	62
Carboplatin	7	1	1	50	6	80
Carboplatin	7	1	1	50	7	66
Carboplatin	7	1	1	50	3	65
Carboplatin	7	1	1	50	6	77
Carboplatin	7	1	1	50	4	69
Carboplatin	7	1	1	50	5	73
Carboplatin	7	1	2	1	7	36
Carboplatin	7	1	2	1	8	35
Carboplatin	7	1	2	1	13	31
Carboplatin	7	1	2	1	9	23
Carboplatin	7	1	2	1	7	36
Carboplatin	7	1	2	1	11	42
Carboplatin	7	1	2	1	10	33
Carboplatin	7	1	2	1	7	42
Carboplatin	7	1	2	1	7	29
Carboplatin	7	1	2	10	15	28
Carboplatin	7	1	2	10	10	36
Carboplatin	7	1	2	10	19	35
Carboplatin	7	1	2	10	7	33
Carboplatin	7	1	2	10	8	29
Carboplatin	7	1	2	10	8	29
Carboplatin	7	1	2	10	6	18
Carboplatin	7	1	2	10	6	46
Carboplatin	7	1	2	10	9	36
Carboplatin	7	1	2	20	7	23
Carboplatin	7	1	2	20	9	41
Carboplatin	7	1	2	20	6	43
Carboplatin	7	1	2	20	2	30
Carboplatin	7	1	2	20	4	30
Carboplatin	7	1	2	20	9	23
Carboplatin	7	1	2	20	2	21
Carboplatin	7	1	2	20	2	10
Carboplatin	7	1	2	50	9	23
