Drug	Replica	Day	Tumor_volume
Control	1	1	108
Control	2	1	63
Control	3	1	108
Control	4	1	75
Control	5	1	75
Control	1	4	196
Control	2	4	63
Control	3	4	172
Control	4	4	126
Control	5	4	126
Control	1	8	221
Control	2	8	108
Control	3	8	196
Control	4	8	365
Control	5	8	196
Control	1	11	352
Control	2	11	126
Control	3	11	405
Control	4	11	405
Control	5	11	196
Control	1	15	527
Control	2	15	288
Control	3	15	666
Control	4	15	600
Control	5	15	256
Control	1	18	750
Control	2	18	288
Control	3	18	726
Control	4	18	726
Control	5	18	288
Control	1	22	1152
Control	2	22	224
Control	3	22	1268
Control	4	22	936
Control	5	22	365
Control	1	25	1437
Control	2	25	446
Control	3	25	1268
Control	4	25	936
Control	5	25	550
Control	1	29	2025
Control	2	29	726
Control	3	29	1568
Control	4	29	1268
Control	5	29	666
5FU	1	1	144
5FU	2	1	75
5FU	3	1	108
5FU	4	1	63
5FU	5	1	63
5FU	6	1	126
5FU	7	1	75
5FU	8	1	75
5FU	9	1	108
5FU	10	1	63
5FU	1	4	162
5FU	2	4	108
5FU	3	4	126
5FU	4	4	108
5FU	5	4	63
5FU	6	4	196
5FU	7	4	126
5FU	8	4	75
5FU	9	4	172
5FU	10	4	75
5FU	1	8	221
5FU	2	8	126
5FU	3	8	172
5FU	4	8	108
5FU	5	8	63
5FU	6	8	288
5FU	7	8	126
5FU	8	8	126
5FU	9	8	196
5FU	10	8	88
5FU	1	11	320
5FU	2	11	144
5FU	3	11	196
5FU	4	11	126
5FU	5	11	75
5FU	6	11	288
5FU	7	11	196
5FU	8	11	144
5FU	9	11	196
5FU	10	11	108
5FU	1	15	320
5FU	2	15	221
5FU	3	15	256
5FU	4	15	172
5FU	5	15	108
5FU	6	15	320
5FU	7	15	196
5FU	8	15	144
5FU	9	15	196
5FU	10	15	108
5FU	1	18	320
5FU	2	18	221
5FU	3	18	256
5FU	4	18	172
5FU	5	18	108
5FU	6	18	320
5FU	7	18	196
5FU	8	18	144
5FU	9	18	196
5FU	10	18	75
5FU	1	22	446
5FU	2	22	221
5FU	3	22	256
5FU	4	22	172
5FU	5	22	108
5FU	6	22	405
5FU	7	22	196
5FU	8	22	144
5FU	9	22	196
5FU	10	22	108
