Drug	Replica	Day	Tumor_volume
Control	1	1	108
Control	2	1	108
Control	3	1	63
Control	4	1	126
Control	5	1	108
Control	1	5	221
Control	2	5	196
Control	3	5	196
Control	4	5	196
Control	5	5	256
Control	1	8	864
Control	2	8	486
Control	3	8	726
Control	4	8	600
Control	5	8	600
Control	1	12	1913
Control	2	12	1268
Control	3	12	1688
Control	4	12	1688
Control	5	12	847
Control	1	15	2601
Control	2	15	1913
Control	3	15	2457
Control	4	15	3610
Control	5	15	1268
Control	2	19	2304
Control	5	19	2025
Carboplatin	1	1	108
Carboplatin	2	1	75
Carboplatin	3	1	75
Carboplatin	4	1	196
Carboplatin	5	1	63
Carboplatin	1	5	256
Carboplatin	2	5	256
Carboplatin	3	5	172
Carboplatin	4	5	500
Carboplatin	5	5	126
Carboplatin	1	8	500
Carboplatin	2	8	666
Carboplatin	3	8	288
Carboplatin	4	8	1183
Carboplatin	5	8	288
Carboplatin	1	12	1268
Carboplatin	2	12	1183
Carboplatin	3	12	550
Carboplatin	4	12	1688
Carboplatin	5	12	726
Carboplatin	1	15	2304
Carboplatin	2	15	2601
Carboplatin	3	15	936
Carboplatin	4	15	2601
Carboplatin	5	15	1080
Carboplatin	3	19	1913
Carboplatin	4	19	3240
Carboplatin	5	19	1666
