Drug	Replica	Day	Tumor_volume
Control	1	1	63
Control	2	1	75
Control	3	1	196
Control	4	1	63
Control	5	1	63
Control	1	4	63
Control	2	4	74
Control	3	4	196
Control	4	4	63
Control	5	4	63
Control	1	8	405
Control	2	8	1099
Control	3	8	1470
Control	4	8	63
Control	5	8	847
Control	1	11	700
Control	2	11	1470
Control	3	11	1800
Control	4	11	63
Control	5	11	847
Control	1	15	1268
Control	2	15	2176
Control	3	15	3564
Control	4	15	63
Control	5	15	2250
Carboplatin	1	1	126
Carboplatin	2	1	108
Carboplatin	3	1	75
Carboplatin	4	1	75
Carboplatin	5	1	75
Carboplatin	1	4	126
Carboplatin	2	4	108
Carboplatin	3	4	75
Carboplatin	4	4	75
Carboplatin	5	4	75
Carboplatin	1	8	172
Carboplatin	2	8	126
Carboplatin	3	8	172
Carboplatin	4	8	172
Carboplatin	5	8	32
Carboplatin	1	11	320
Carboplatin	2	11	320
Carboplatin	3	11	288
Carboplatin	4	11	365
Carboplatin	5	11	32
Carboplatin	1	15	936
Carboplatin	2	15	787
Carboplatin	3	15	908
Carboplatin	4	15	666
Carboplatin	5	15	256
