Drug	Replica	Day	Tumor_volume
Control	1	1	75
Control	2	1	62.5
Control	3	1	62.5
Control	4	1	62.5
Control	5	1	75
Control	6	1	62.5
Control	7	1	75
Control	8	1	108
Control	9	1	62.5
Control	1	4	108
Control	2	4	75
Control	3	4	75
Control	4	4	62.5
Control	5	4	75
Control	6	4	62.5
Control	7	4	75
Control	8	4	847
Control	9	4	75
Control	1	8	108
Control	2	8	75
Control	3	8	75
Control	4	8	108
Control	5	8	108
Control	6	8	75
Control	7	8	75
Control	8	8	847
Control	9	8	256
Control	1	11	171.5
Control	2	11	75
Control	3	11	108
Control	4	11	108
Control	5	11	126
Control	6	11	220.5
Control	7	11	108
Control	8	11	847
Control	9	11	288
Control	1	16	196
Control	2	16	75
Control	3	16	171.5
Control	4	16	171.5
Control	5	16	171.5
Control	6	16	650
Control	7	16	405
Control	8	16	847
Control	9	16	364.5
Control	1	31	364.5
Control	2	31	126
Control	3	31	320
Control	4	31	320
Control	5	31	320
Control	6	31	700
Control	7	31	500
Control	8	31	1183
Control	9	31	364.5
Control	1	37	665.5
Control	2	37	288
Control	3	37	650
Control	4	37	864
Control	5	37	786.5
Control	6	37	907.5
Control	7	37	550
Control	8	37	1224
Control	9	37	405
Control	1	40	665.5
Control	2	40	364.5
Control	3	40	650
Control	4	40	864
Control	5	40	726
Control	6	40	750
Control	7	40	486
Control	8	40	1028.5
Control	9	40	550
Control	1	43	726
Control	2	43	320
Control	3	43	650
Control	4	43	936
Control	5	43	726
Control	6	43	1152
Control	7	43	600
Control	8	43	1568
Control	9	43	550
5FU	1	1	62.5
5FU	2	1	62.5
5FU	3	1	62.5
5FU	4	1	108
5FU	5	1	48
5FU	6	1	75
5FU	7	1	62.5
5FU	1	4	75
5FU	2	4	62.5
5FU	3	4	62.5
5FU	4	4	196
5FU	5	4	62.5
5FU	6	4	62.5
5FU	7	4	75
5FU	1	8	87.5
5FU	2	8	62.5
5FU	3	8	62.5
5FU	4	8	196
5FU	5	8	62.5
5FU	6	8	62.5
5FU	7	8	196
5FU	1	11	87.5
5FU	2	11	62.5
5FU	3	11	40
5FU	4	11	126
5FU	5	11	13.5
5FU	6	11	62.5
5FU	7	11	256
5FU	1	16	126
5FU	2	16	62.5
5FU	3	16	32
5FU	4	16	126
5FU	5	16	13.5
5FU	6	16	62.5
5FU	7	16	288
5FU	1	31	352
5FU	2	31	171.5
5FU	3	31	13.5
5FU	4	31	245
5FU	5	31	0
5FU	6	31	40
5FU	7	31	320
5FU	1	37	936
5FU	2	37	500
5FU	3	37	0
5FU	4	37	245
5FU	5	37	0
5FU	6	37	40
5FU	7	37	320
5FU	1	40	936
5FU	2	40	500
5FU	3	40	0
5FU	4	40	864
5FU	5	40	0
5FU	6	40	40
5FU	7	40	320
5FU	1	43	1183
5FU	2	43	550
5FU	3	43	0
5FU	4	43	864
5FU	5	43	0
5FU	6	43	40
5FU	7	43	550
