Drug	Replica	Day	Tumor_volume
Control	1	1	63
Control	2	1	126
Control	3	1	108
Control	4	1	75
Control	5	1	63
Control	6	1	126
Control	7	1	63
Control	8	1	63
Control	9	1	63
Control	1	5	108
Control	2	5	126
Control	3	5	126
Control	4	5	126
Control	5	5	75
Control	6	5	196
Control	7	5	63
Control	8	5	63
Control	9	5	63
Control	1	8	256
Control	2	8	196
Control	3	8	196
Control	4	8	144
Control	5	8	75
Control	6	8	256
Control	7	8	108
Control	8	8	63
Control	9	8	75
Control	1	12	288
Control	2	12	196
Control	3	12	288
Control	4	12	221
Control	5	12	75
Control	6	12	405
Control	7	12	108
Control	8	12	126
Control	9	12	75
Control	1	15	405
Control	2	15	221
Control	3	15	365
Control	4	15	352
Control	5	15	75
Control	6	15	726
Control	7	15	172
Control	8	15	88
Control	9	15	88
Control	1	19	726
Control	2	19	320
Control	3	19	405
Control	4	19	446
Control	5	19	126
Control	6	19	847
Control	7	19	256
Control	8	19	126
Control	9	19	88
Control	1	22	787
Control	2	22	446
Control	3	22	405
Control	4	22	787
Control	5	22	126
Control	6	22	1152
Control	7	22	256
Control	8	22	126
Control	9	22	88
Control	1	26	1080
Control	2	26	650
Control	3	26	550
Control	4	26	936
Control	5	26	126
Control	6	26	1521
Control	7	26	288
Control	8	26	162
Control	9	26	126
Control	1	29	1352
Control	2	29	847
Control	3	29	600
Control	4	29	1080
Control	5	29	126
Control	6	29	2475
Control	7	29	550
Control	8	29	162
Control	9	29	144
Control	1	33	1764
Control	2	33	1268
Control	3	33	936
Control	4	33	1568
Control	5	33	126
Control	6	33	2475
Control	7	33	600
Control	8	33	162
Control	9	33	245
Control	1	36	2432
Control	2	36	1666
Control	3	36	1099
Control	4	36	1666
Control	5	36	126
Control	6	36	2475
Control	7	36	600
Control	8	36	270
Control	9	36	567
Control	1	40	2432
Control	2	40	2432
Control	3	40	1470
Control	4	40	2432
Control	5	40	196
Control	6	40	2475
Control	7	40	787
Control	8	40	527
Control	9	40	850
Control	1	43	2432
Control	2	43	2432
Control	3	43	1800
Control	4	43	2432
Control	5	43	196
Control	6	43	2475
Control	7	43	1268
Control	8	43	700
Control	9	43	950

Paclitaxel	1	1	75
Paclitaxel	2	1	172
Paclitaxel	3	1	75
Paclitaxel	4	1	63
Paclitaxel	5	1	63
Paclitaxel	6	1	75
Paclitaxel	7	1	63
Paclitaxel	8	1	75
Paclitaxel	9	1	75
Paclitaxel	1	5	126
Paclitaxel	2	5	196
Paclitaxel	3	5	88
Paclitaxel	4	5	108
Paclitaxel	5	5	126
Paclitaxel	6	5	126
Paclitaxel	7	5	63
Paclitaxel	8	5	75
Paclitaxel	9	5	126
Paclitaxel	1	8	196
Paclitaxel	2	8	405
Paclitaxel	3	8	88
Paclitaxel	4	8	144
Paclitaxel	5	8	288
Paclitaxel	6	8	288
Paclitaxel	7	8	63
Paclitaxel	8	8	144
Paclitaxel	9	8	75
Paclitaxel	1	12	288
Paclitaxel	2	12	405
Paclitaxel	3	12	126
Paclitaxel	4	12	144
Paclitaxel	5	12	320
Paclitaxel	6	12	288
Paclitaxel	7	12	108
Paclitaxel	8	12	126
Paclitaxel	9	12	75
Paclitaxel	1	15	288
Paclitaxel	2	15	550
Paclitaxel	3	15	144
Paclitaxel	4	15	221
Paclitaxel	5	15	352
Paclitaxel	6	15	288
Paclitaxel	7	15	108
Paclitaxel	8	15	63
Paclitaxel	9	15	88
Paclitaxel	1	19	320
Paclitaxel	2	19	550
Paclitaxel	3	19	221
Paclitaxel	4	19	221
Paclitaxel	5	19	600
Paclitaxel	6	19	352
Paclitaxel	7	19	108
Paclitaxel	8	19	75
Paclitaxel	9	19	88
Paclitaxel	1	22	405
Paclitaxel	2	22	787
Paclitaxel	3	22	221
Paclitaxel	4	22	320
Paclitaxel	5	22	700
Paclitaxel	6	22	384
Paclitaxel	7	22	75
Paclitaxel	8	22	75
Paclitaxel	9	22	126
Paclitaxel	1	26	550
Paclitaxel	2	26	787
Paclitaxel	3	26	221
Paclitaxel	4	26	352
Paclitaxel	5	26	908
Paclitaxel	6	26	600
Paclitaxel	7	26	75
Paclitaxel	8	26	126
Paclitaxel	9	26	126
Paclitaxel	1	29	600
Paclitaxel	2	29	787
Paclitaxel	3	29	196
Paclitaxel	4	29	352
Paclitaxel	5	29	1224
Paclitaxel	6	29	908
Paclitaxel	7	29	75
Paclitaxel	8	29	126
Paclitaxel	9	29	126
Paclitaxel	1	33	787
Paclitaxel	2	33	787
Paclitaxel	3	33	288
Paclitaxel	4	33	384
Paclitaxel	5	33	1764
Paclitaxel	6	33	1437
Paclitaxel	7	33	75
Paclitaxel	8	33	126
Paclitaxel	9	33	126
Paclitaxel	1	36	1183
Paclitaxel	2	36	787
Paclitaxel	3	36	288
Paclitaxel	4	36	384
Paclitaxel	5	36	1764
Paclitaxel	6	36	1764
Paclitaxel	7	36	75
Paclitaxel	8	36	144
Paclitaxel	9	36	126
Paclitaxel	1	40	1568
Paclitaxel	2	40	787
Paclitaxel	3	40	288
Paclitaxel	4	40	527
Paclitaxel	5	40	1862
Paclitaxel	6	40	2058
Paclitaxel	7	40	108
Paclitaxel	8	40	245
Paclitaxel	9	40	40
Paclitaxel	1	43	1913
Paclitaxel	2	43	787
Paclitaxel	3	43	288
Paclitaxel	4	43	567
Paclitaxel	5	43	2250
Paclitaxel	6	43	2816
Paclitaxel	7	43	108
Paclitaxel	8	43	245
Paclitaxel	9	43	126
