Drug	Replica	Day	Tumor_volume
Control	1	1	108
Control	2	1	75
Control	3	1	75
Control	4	1	63
Control	5	1	75
Control	1	4	108
Control	2	4	108
Control	3	4	63
Control	4	4	63
Control	5	4	88
Control	1	8	172
Control	2	8	144
Control	3	8	63
Control	4	8	75
Control	5	8	126
Control	1	11	172
Control	2	11	245
Control	3	11	108
Control	4	11	108
Control	5	11	126
Control	1	15	256
Control	2	15	270
Control	3	15	196
Control	4	15	196
Control	5	15	126
Control	1	18	256
Control	2	18	270
Control	3	18	256
Control	4	18	288
Control	1	22	365
Control	2	22	294
Control	3	22	172
Control	4	22	365
Control	1	29	500
Control	2	29	448
Control	3	29	196
Control	4	29	405
Carboplatin	1	1	108
Carboplatin	2	1	75
Carboplatin	3	1	88
Carboplatin	4	1	75
Carboplatin	5	1	144
Carboplatin	6	1	108
Carboplatin	7	1	63
Carboplatin	1	4	63
Carboplatin	2	4	63
Carboplatin	3	4	75
Carboplatin	4	4	32
Carboplatin	5	4	40
Carboplatin	6	4	75
Carboplatin	7	4	63
Carboplatin	1	8	1
Carboplatin	2	8	4
Carboplatin	3	8	4
Carboplatin	4	8	0
Carboplatin	5	8	0
Carboplatin	6	8	1
Carboplatin	7	8	0
Carboplatin	1	11	0
Carboplatin	2	11	1
Carboplatin	3	11	1
Carboplatin	4	11	0
Carboplatin	5	11	0
Carboplatin	6	11	1
Carboplatin	7	11	0
Carboplatin	1	15	0
Carboplatin	2	15	0
Carboplatin	3	15	0
Carboplatin	4	15	0
Carboplatin	5	15	0
Carboplatin	6	15	0
Carboplatin	7	15	0
Carboplatin	1	18	0
Carboplatin	2	18	0
Carboplatin	3	18	0
Carboplatin	4	18	0
Carboplatin	5	18	6
Carboplatin	6	18	0
Carboplatin	7	18	0
Carboplatin	1	22	0
Carboplatin	2	22	0
Carboplatin	3	22	0
Carboplatin	4	22	0
Carboplatin	1	25	0
Carboplatin	2	25	0
Carboplatin	3	25	0
Carboplatin	4	25	0
Carboplatin	1	29	0
Carboplatin	2	29	0
Carboplatin	3	29	0
Carboplatin	4	29	0

