Drug	Replica	Day	Tumor_volume
Control	1	1	63
Control	2	1	75
Control	3	1	108
Control	4	1	126
Control	5	1	108
Control	1	4	108
Control	2	4	126
Control	3	4	196
Control	4	4	172
Control	5	4	108
Control	1	8	172
Control	2	8	196
Control	3	8	196
Control	4	8	196
Control	5	8	126
Control	1	11	288
Control	2	11	288
Control	3	11	288
Control	4	11	288
Control	5	11	196
Control	1	15	320
Control	2	15	446
Control	3	15	550
Control	4	15	365
Control	5	15	405
Control	1	18	559
Control	2	18	527
Control	3	18	650
Control	4	18	500
Control	5	18	650
Control	1	22	787
Control	2	22	650
Control	3	22	1268
Control	4	22	550
Control	5	22	650
Control	1	25	908
Control	2	25	1008
Control	3	25	1470
5FU	1	1	63
5FU	2	1	75
5FU	3	1	108
5FU	4	1	126
5FU	5	1	126
5FU	1	4	63
5FU	2	4	126
5FU	3	4	108
5FU	4	4	196
5FU	5	4	126
5FU	1	8	126
5FU	2	8	196
5FU	3	8	126
5FU	4	8	288
5FU	5	8	196
5FU	1	11	126
5FU	2	11	320
5FU	3	11	172
5FU	4	11	320
5FU	5	11	221
5FU	1	15	196
5FU	2	15	405
5FU	3	15	172
5FU	4	15	320
5FU	5	15	196
5FU	1	18	288
5FU	2	18	446
5FU	3	18	256
5FU	4	18	320
5FU	5	18	196
5FU	1	22	288
5FU	2	22	600
5FU	3	22	196
5FU	4	22	320
5FU	5	22	288
5FU	1	25	320
5FU	2	25	787
5FU	3	25	365
