Drug	Replica	Day	Tumor_volume
Control	1	1	108
Control	2	1	108
Control	3	1	63
Control	4	1	126
Control	5	1	108
Control	1	5	221
Control	2	5	196
Control	3	5	196
Control	4	5	196
Control	5	5	256
Control	1	8	864
Control	2	8	486
Control	3	8	726
Control	4	8	600
Control	5	8	600
Control	1	12	1913
Control	2	12	1268
Control	3	12	1688
Control	4	12	1688
Control	5	12	847
Control	1	15	2601
Control	2	15	1913
Control	3	15	2457
Control	4	15	3610
Control	5	15	1268
Control	2	19	2304
Control	5	19	2025
Paclitaxel	1	1	75
Paclitaxel	2	1	126
Paclitaxel	3	1	63
Paclitaxel	4	1	108
Paclitaxel	5	1	172
Paclitaxel	1	5	108
Paclitaxel	2	5	108
Paclitaxel	3	5	108
Paclitaxel	4	5	172
Paclitaxel	5	5	365
Paclitaxel	1	8	172
Paclitaxel	2	8	172
Paclitaxel	3	8	196
Paclitaxel	4	8	256
Paclitaxel	5	8	600
Paclitaxel	1	12	256
Paclitaxel	2	12	196
Paclitaxel	3	12	600
Paclitaxel	4	12	288
Paclitaxel	5	12	1183
Paclitaxel	1	15	500
Paclitaxel	2	15	196
Paclitaxel	3	15	1183
Paclitaxel	4	15	405
Paclitaxel	5	15	1470
Paclitaxel	1	19	1183
Paclitaxel	2	19	3240
Paclitaxel	3	19	2601
Paclitaxel	4	19	500
Paclitaxel	5	19	1913
