Drug	Replica	Day	Tumor_volume
Control	6	1	650
Control	6	6	936
Control	6	9	1913
Control	6	13	2176
Carboplatin	1	1	446
Carboplatin	2	1	600
Carboplatin	3	1	1080
Carboplatin	1	6	550
Carboplatin	2	6	726
Carboplatin	3	6	1268
Carboplatin	1	9	75
Carboplatin	2	9	126
Carboplatin	3	9	196
Carboplatin	1	13	32
Carboplatin	2	13	75
Carboplatin	3	13	126
Carboplatin	1	16	4
Carboplatin	2	16	4
Carboplatin	3	16	108
Carboplatin	1	20	4
Carboplatin	2	20	4
Carboplatin	3	20	126
Carboplatin	1	23	1
Carboplatin	2	23	4
Carboplatin	3	23	196
Carboplatin	1	27	1
Carboplatin	2	27	1
Carboplatin	3	27	221
